feature_id,Name,Type,Known Driver Genes (cna only),Count
"277","TBX3_mut","coding variant","","265"
"278","TCF12_mut","coding variant","","265"
"280","TCF4_mut","coding variant","","265"
"281","TCF7L2_mut","coding variant","","265"
"282","TET2_mut","coding variant","","265"
"284","THRAP3_mut","coding variant","","265"
"285","TJP1_mut","coding variant","","265"
"286","TJP2_mut","coding variant","","265"
"288","TNPO1_mut","coding variant","","265"
"290","TP53BP1_mut","coding variant","","265"
"289","TP53_mut","coding variant","","265"
"291","TRIO_mut","coding variant","","265"
"292","TSC1_mut","coding variant","","265"
"293","U2AF1_mut","coding variant","","265"
"294","UPF3B_mut","coding variant","","265"
"295","USP6_mut","coding variant","","265"
"296","VHL_mut","coding variant","","265"
"298","WHSC1L1_mut","coding variant","","265"
"297","WHSC1_mut","coding variant","","265"
"299","WNK1_mut","coding variant","","265"
"300","WT1_mut","coding variant","","265"
"301","XPO1_mut","coding variant","","265"
"302","XRN1_mut","coding variant","","265"
"303","ZC3H11A_mut","coding variant","","265"
"304","ZFHX3_mut","coding variant","","265"
"305","ZFP36L1_mut","coding variant","","265"
"306","ZFP36L2_mut","coding variant","","265"
"307","ZMYM2_mut","coding variant","","265"
"308","ZNF292_mut","coding variant","","265"
"309","ZNF638_mut","coding variant","","265"
"310","ZNRF3_mut","coding variant","","265"
